fighter,country,continent,stance_project,hand,wins,losses,total_fights,win_rate,weight_class,learning_tip,weight_class_source,gender,height_cm,reach_cm,stance_ufcstats,dob,ufcstats_url,ufc_fights,ufc_wins,ufc_losses,ufc_ko_wins,ufc_sub_wins,ufc_dec_wins,title_fights,main_events,first_ufc_fight,last_ufc_fight,stats_fights,ufc_minutes,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,kd_avg,ctrl_pct,pct_distance,pct_clinch,pct_ground,pct_head,pct_body,pct_leg,age,age_at_last_ufc_fight,active,ape_index_cm,headliner_index,striking_index,grappling_index,fighting_style,stance,stance_matches_project,foot,champion,popularity_index,stance_hand,foot_hand,ape_index
Sean O'Malley,USA,North America,Southpaw,Right,17,1,18,94.44,Bantamweight,Study fundamentals and signature techniques,original,Men,180.3,182.9,Switch,1994-10-24,http://ufcstats.com/fighter-details/b50a426a33da0012,16.0,12.0,3.0,7.0,0.0,5.0,4.0,4.0,2017-12-01,2026-06-14,16.0,189.4,5.97,60.32,3.34,59.78,0.24,42.86,59.68,0.24,0.55,1.08,94.96,1.77,3.27,67.11,23.78,9.11,31.9,31.6,True,2.6,8.0,83.0,14.0,Striker,Switch,False,Right,True,46,Switch · Right-handed,Right foot · Right hand,1.014
Kamaru Usman,USA,North America,Orthodox,Right,20,3,23,86.96,Welterweight,Study fundamentals and signature techniques,original,Men,182.9,193.0,Switch,1987-05-11,http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e,20.0,16.0,4.0,4.0,1.0,11.0,9.0,11.0,2015-07-12,2026-07-18,20.0,364.0,4.13,50.9,2.86,54.6,2.6,42.0,90.2,0.08,0.41,40.45,59.68,16.1,24.22,62.87,29.34,7.78,39.4,39.2,True,10.1,20.0,61.0,63.0,All-rounder,Switch,False,Right,True,88,Switch · Right-handed,Right foot · Right hand,1.055
Ronda Rousey,USA,North America,Orthodox,Right,12,2,14,85.71,Women's Bantamweight,Study fundamentals and signature techniques,corrected,Women,170.2,167.6,Orthodox,1987-02-01,http://ufcstats.com/fighter-details/8bdac25ce0bb874d,8.0,6.0,2.0,3.0,3.0,0.0,8.0,6.0,2013-02-23,2016-12-30,8.0,24.7,4.77,51.98,4.73,40.61,4.85,72.73,50.0,3.03,1.21,47.98,33.05,42.37,24.58,70.34,20.34,9.32,39.6,29.9,False,-2.6,14.0,88.0,97.0,All-rounder,Orthodox,True,Right,True,56,Orthodox · Right-handed,Right foot · Right hand,0.985
Rose Namajunas,USA,North America,Southpaw,Left,12,5,17,70.59,Women's Strawweight,Study fundamentals and signature techniques,corrected,Women,165.1,165.1,Orthodox,1992-06-29,http://ufcstats.com/fighter-details/47b63240018d5d86,19.0,12.0,7.0,2.0,3.0,7.0,7.0,5.0,2014-12-12,2026-01-24,19.0,296.7,3.5,41.11,3.38,63.68,1.47,48.33,62.12,0.35,0.3,19.75,83.75,6.83,9.42,71.54,18.75,9.71,34.2,33.6,True,0.0,12.0,41.0,54.0,All-rounder,Orthodox,False,Left,True,62,Orthodox · Left-handed,Left foot · Left hand,1.0
Holly Holm,USA,North America,Orthodox,Right,14,6,20,70.0,Women's Bantamweight,Study fundamentals and signature techniques,corrected,Women,172.7,175.3,Southpaw,1981-10-17,http://ufcstats.com/fighter-details/634e2fb70bde3fd5,16.0,8.0,7.0,2.0,0.0,6.0,5.0,8.0,2015-02-28,2024-04-13,16.0,257.2,3.13,40.76,2.92,55.01,0.87,30.0,76.32,0.06,0.12,24.07,81.86,11.68,6.46,46.83,30.56,22.61,44.9,42.5,False,2.6,13.0,22.0,42.0,Grappler,Southpaw,False,Right,True,56,Southpaw · Right-handed,Right foot · Right hand,1.015
Miesha Tate,USA,North America,Orthodox,Right,18,7,25,72.0,Women's Bantamweight,Study fundamentals and signature techniques,corrected,Women,167.6,165.1,Orthodox,1986-08-18,http://ufcstats.com/fighter-details/b96619b3acd7d9da,14.0,7.0,7.0,1.0,2.0,4.0,3.0,2.0,2013-04-13,2025-05-03,14.0,203.8,3.03,46.02,3.19,52.03,1.4,25.33,58.7,0.88,0.07,31.37,64.72,16.67,18.61,64.4,27.35,8.25,40.1,38.7,True,-2.5,5.0,18.0,73.0,Grappler,Orthodox,True,Right,True,25,Orthodox · Right-handed,Right foot · Right hand,0.985
Cody Garbrandt,USA,North America,Orthodox,Right,12,5,17,70.59,Bantamweight,Study fundamentals and signature techniques,original,Men,172.7,165.1,Orthodox,1991-07-07,http://ufcstats.com/fighter-details/d8c7c61b176e3994,18.0,10.0,8.0,6.0,0.0,4.0,3.0,3.0,2015-01-03,2026-07-11,18.0,178.4,2.82,40.37,3.69,58.68,0.84,22.22,81.82,0.0,0.92,5.7,86.68,8.15,5.17,72.17,13.52,14.31,35.2,35.0,True,-7.6,6.0,57.0,19.0,Striker,Orthodox,True,Right,True,35,Orthodox · Right-handed,Right foot · Right hand,0.956
TJ Dillashaw,USA,North America,Southpaw,Right,17,5,22,77.27,Bantamweight,Study fundamentals and signature techniques,original,Men,167.6,170.2,Orthodox,1986-02-07,http://ufcstats.com/fighter-details/c849740a3ff51931,18.0,13.0,5.0,7.0,1.0,5.0,9.0,7.0,2011-12-03,2022-10-22,18.0,220.7,5.09,41.11,3.47,62.04,1.56,30.67,77.78,0.82,0.61,24.58,73.02,10.06,16.92,66.61,14.51,18.88,40.6,36.7,False,2.6,16.0,81.0,69.0,All-rounder,Orthodox,False,Right,True,76,Orthodox · Right-handed,Right foot · Right hand,1.016
Henry Cejudo,USA,North America,Orthodox,Right,16,2,18,88.89,Flyweight,Study fundamentals and signature techniques,original,Men,162.6,162.6,Orthodox,1987-02-09,http://ufcstats.com/fighter-details/056c493bbd76a918,16.0,10.0,6.0,4.0,0.0,6.0,6.0,4.0,2014-12-13,2025-12-06,16.0,218.6,3.83,47.37,3.84,57.3,1.78,29.89,72.34,0.14,0.34,20.42,68.97,18.74,12.29,54.53,28.64,16.83,39.6,38.8,True,0.0,10.0,50.0,50.0,All-rounder,Orthodox,True,Right,True,51,Orthodox · Right-handed,Right foot · Right hand,1.0
Eddie Alvarez,USA,North America,Orthodox,Right,29,10,39,74.36,Lightweight,Study fundamentals and signature techniques,original,Men,175.3,175.3,Orthodox,1984-01-11,http://ufcstats.com/fighter-details/33a331684283900f,8.0,4.0,3.0,2.0,0.0,2.0,2.0,3.0,2014-09-27,2018-07-28,8.0,89.0,4.5,41.24,5.33,53.76,2.02,26.09,100.0,0.17,0.17,19.52,78.25,17.75,4.0,65.75,25.25,9.0,42.7,34.5,False,0.0,5.0,47.0,53.0,All-rounder,Orthodox,True,Left,True,22,Orthodox · Right-handed,Left foot · Right hand,1.0
Donald Cerrone,USA,North America,Orthodox,Right,36,16,52,69.23,Lightweight,Study fundamentals and signature techniques,original,Men,185.4,185.4,Orthodox,1983-03-29,http://ufcstats.com/fighter-details/1d00756835ca67c9,38.0,23.0,14.0,10.0,6.0,7.0,1.0,9.0,2011-02-05,2022-07-02,38.0,356.8,4.9,47.36,5.11,51.57,1.01,28.92,88.57,0.46,0.84,10.82,84.55,8.64,6.81,51.09,25.29,23.63,43.5,39.3,False,0.0,10.0,86.0,45.0,Striker,Orthodox,True,Left,False,68,Orthodox · Right-handed,Left foot · Right hand,1.0
Frankie Edgar,USA,North America,Orthodox,Right,24,9,33,72.73,Lightweight,Study fundamentals and signature techniques,original,Men,167.6,172.7,Orthodox,1981-10-16,http://ufcstats.com/fighter-details/f2688492b9a525a3,30.0,18.0,11.0,5.0,2.0,11.0,9.0,13.0,2007-02-03,2022-11-12,30.0,477.2,3.77,40.46,2.82,65.93,2.29,31.47,65.62,0.31,0.09,22.13,70.13,7.16,22.71,66.35,19.1,14.55,44.9,41.1,False,5.1,22.0,31.0,62.0,Grappler,Orthodox,True,Left,True,92,Orthodox · Right-handed,Left foot · Right hand,1.03
BJ Penn,USA,North America,Southpaw,Left,16,14,30,53.33,Lightweight,Study fundamentals and signature techniques,original,Men,175.3,177.8,Orthodox,1978-12-13,http://ufcstats.com/fighter-details/73c7cfa551289285,27.0,12.0,13.0,7.0,4.0,1.0,11.0,13.0,2001-05-04,2019-05-11,27.0,356.3,2.8,47.55,3.48,56.87,1.09,57.78,76.22,0.51,0.29,16.3,62.86,21.02,16.12,78.38,16.22,5.41,47.8,40.4,False,2.5,24.0,31.0,53.0,Grappler,Orthodox,False,Left,True,83,Orthodox · Left-handed,Left foot · Left hand,1.014
Nick Diaz,USA,North America,Southpaw,Left,26,9,35,74.29,Welterweight,Study fundamentals and signature techniques,original,Men,185.4,193.0,Southpaw,1983-08-02,http://ufcstats.com/fighter-details/f57a8a52ca401ed9,15.0,7.0,7.0,4.0,2.0,1.0,2.0,5.0,2003-09-26,2021-09-25,15.0,204.5,4.26,41.66,3.89,54.15,1.03,34.15,62.82,0.95,0.22,14.42,75.46,17.78,6.77,69.38,24.31,6.31,43.1,38.1,False,7.6,7.0,46.0,58.0,All-rounder,Southpaw,True,Left,True,31,Southpaw · Left-handed,Left foot · Left hand,1.041
Randy Couture,USA,North America,Orthodox,Right,19,11,30,63.33,Heavyweight,Study fundamentals and signature techniques,corrected,Men,185.4,190.5,Orthodox,1963-06-22,http://ufcstats.com/fighter-details/0aa92558424ced9e,24.0,16.0,8.0,7.0,4.0,5.0,16.0,18.0,1997-05-30,2011-04-30,24.0,281.8,2.76,59.16,1.41,59.09,2.77,50.0,59.38,0.59,0.05,44.96,26.74,30.21,43.06,76.86,11.18,11.95,63.3,47.9,False,5.1,34.0,14.0,82.0,Grappler,Orthodox,True,Right,True,94,Orthodox · Right-handed,Right foot · Right hand,1.028
Chuck Liddell,USA,North America,Orthodox,Right,21,9,30,70.0,Light Heavyweight,Study fundamentals and signature techniques,original,Men,188.0,193.0,Orthodox,1969-12-17,http://ufcstats.com/fighter-details/a390eb8a9b2df298,23.0,16.0,7.0,10.0,0.0,6.0,7.0,12.0,1998-05-15,2010-06-12,23.0,204.5,2.99,37.35,2.12,60.22,0.51,87.5,81.4,0.0,1.03,8.63,70.38,13.58,16.04,68.25,7.36,24.39,56.8,40.5,False,5.0,19.0,59.0,15.0,Striker,Orthodox,True,Right,True,86,Orthodox · Right-handed,Right foot · Right hand,1.027
Jamahal Hill,USA,North America,Orthodox,Right,12,2,14,85.71,Light Heavyweight,Study fundamentals and signature techniques,original,Men,193.0,200.7,Southpaw,1991-05-19,http://ufcstats.com/fighter-details/5444c5a201d3ee5a,11.0,6.0,4.0,4.0,0.0,2.0,2.0,5.0,2020-01-25,2025-06-21,11.0,114.9,5.89,50.26,4.04,44.96,0.0,,70.83,0.0,0.52,5.34,83.75,8.86,7.39,67.21,23.34,9.45,35.4,34.1,True,7.7,7.0,81.0,5.0,Striker,Southpaw,False,Right,True,29,Southpaw · Right-handed,Right foot · Right hand,1.04
Cory Sandhagen,USA,North America,Southpaw,Right,16,4,20,80.0,Bantamweight,Study fundamentals and signature techniques,original,Men,180.3,177.8,Switch,1992-04-20,http://ufcstats.com/fighter-details/65f09bacd3957381,17.0,11.0,6.0,6.0,1.0,4.0,2.0,7.0,2018-01-27,2026-07-11,17.0,250.4,4.92,45.36,3.72,55.09,1.14,33.93,57.02,0.24,0.24,19.42,82.89,4.06,13.06,65.86,15.17,18.98,34.4,34.2,True,-2.5,9.0,59.0,47.0,All-rounder,Switch,False,Right,False,48,Switch · Right-handed,Right foot · Right hand,0.986
Carla Esparza,USA,North America,Orthodox,Right,19,7,26,73.08,Women's Strawweight,Study fundamentals and signature techniques,corrected,Women,154.9,160.0,Orthodox,1987-10-10,http://ufcstats.com/fighter-details/d910665038efc639,16.0,10.0,6.0,1.0,1.0,8.0,4.0,1.0,2014-12-12,2024-10-05,16.0,224.3,2.19,39.45,2.87,54.39,3.28,36.3,47.22,0.27,0.0,28.29,56.91,12.8,30.28,73.78,14.43,11.79,39.0,37.0,True,5.1,5.0,4.0,67.0,Grappler,Orthodox,True,Right,True,31,Orthodox · Right-handed,Right foot · Right hand,1.033
Tatiana Suarez,USA,North America,Orthodox,Right,10,0,10,100.0,Women's Strawweight,Study fundamentals and signature techniques,corrected,Women,165.1,167.6,Southpaw,1990-12-19,http://ufcstats.com/fighter-details/b08012bbe542592a,11.0,10.0,1.0,1.0,5.0,4.0,2.0,0.0,2016-07-08,2026-04-11,11.0,127.8,2.68,59.55,1.62,42.82,4.34,43.02,57.14,0.59,0.0,60.07,30.9,18.08,51.02,47.81,31.2,20.99,35.8,35.3,True,2.5,2.0,10.0,87.0,Grappler,Southpaw,False,Right,False,21,Southpaw · Right-handed,Right foot · Right hand,1.015
Robbie Lawler,USA,North America,Orthodox,Right,28,15,43,65.12,Welterweight,Study fundamentals and signature techniques,original,Men,180.3,188.0,Southpaw,1982-03-20,http://ufcstats.com/fighter-details/f2925e6db404bf1d,25.0,15.0,10.0,8.0,0.0,7.0,5.0,7.0,2002-05-10,2023-07-08,25.0,318.4,4.19,48.33,5.18,58.3,0.8,73.91,64.81,0.0,0.47,10.1,69.49,21.59,8.92,75.86,19.87,4.27,44.5,41.3,False,7.7,12.0,64.0,23.0,Striker,Southpaw,False,Right,True,68,Southpaw · Right-handed,Right foot · Right hand,1.043
Carlos Condit,USA,North America,Orthodox,Right,30,14,44,68.18,Welterweight,Study fundamentals and signature techniques,original,Men,188.0,190.5,Orthodox,1984-04-26,http://ufcstats.com/fighter-details/f9f07bb5a43535ed,19.0,9.0,10.0,5.0,0.0,4.0,3.0,7.0,2009-04-01,2021-07-10,19.0,251.3,4.0,38.57,2.91,54.54,0.54,40.91,34.48,0.66,0.36,10.26,78.63,8.85,12.52,55.67,20.58,23.76,42.4,37.2,False,2.5,10.0,55.0,40.0,All-rounder,Orthodox,True,Right,True,48,Orthodox · Right-handed,Right foot · Right hand,1.013
Dominick Cruz,USA,North America,Orthodox,Right,24,3,27,88.89,Bantamweight,Study fundamentals and signature techniques,original,Men,172.7,172.7,Orthodox,1985-03-09,http://ufcstats.com/fighter-details/10f3ba6cd2f44a97,10.0,7.0,3.0,1.0,0.0,6.0,6.0,4.0,2011-07-02,2022-08-13,10.0,183.3,4.26,37.99,3.21,65.83,2.29,31.82,83.78,0.08,0.08,12.35,88.85,6.79,4.36,66.41,18.08,15.51,41.5,37.4,False,0.0,10.0,38.0,44.0,All-rounder,Orthodox,True,Right,True,44,Orthodox · Right-handed,Right foot · Right hand,1.0
Urijah Faber,USA,North America,Orthodox,Right,35,11,46,76.09,Bantamweight,Study fundamentals and signature techniques,corrected,Men,167.6,170.2,Orthodox,1979-05-14,http://ufcstats.com/fighter-details/78114b7199cef90c,18.0,11.0,7.0,1.0,6.0,4.0,4.0,5.0,2011-03-19,2019-12-14,18.0,245.6,2.9,41.99,2.89,65.11,1.59,28.26,62.0,0.55,0.31,18.88,62.27,13.6,24.12,73.49,19.21,7.29,47.4,40.6,False,2.6,9.0,33.0,59.0,Grappler,Orthodox,True,Right,False,48,Orthodox · Right-handed,Right foot · Right hand,1.016
Jose Aldo,Brazil,South America,Orthodox,Right,31,8,39,79.49,Bantamweight,Study fundamentals and signature techniques,original,Men,170.2,177.8,Orthodox,1986-09-09,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,23.0,14.0,9.0,4.0,0.0,10.0,12.0,8.0,2011-04-30,2025-05-10,23.0,379.7,3.57,45.25,4.21,58.36,0.51,50.0,91.59,0.16,0.28,11.61,90.1,4.14,5.76,67.43,20.68,11.89,40.0,38.7,True,7.6,20.0,39.0,25.0,All-rounder,Orthodox,True,Right,True,85,Orthodox · Right-handed,Right foot · Right hand,1.045
Benson Henderson,USA,North America,Orthodox,Right,28,9,37,75.68,Lightweight,Study fundamentals and signature techniques,original,Men,175.3,177.8,Southpaw,1983-11-16,http://ufcstats.com/fighter-details/2676b28836a5a836,14.0,11.0,3.0,0.0,2.0,9.0,5.0,10.0,2011-04-30,2015-11-28,14.0,252.4,3.27,45.86,1.92,64.57,1.9,49.23,65.43,0.59,0.18,25.74,62.95,18.64,18.4,43.83,29.9,26.27,42.9,32.0,False,2.5,15.0,30.0,71.0,Grappler,Southpaw,False,Right,True,68,Southpaw · Right-handed,Right foot · Right hand,1.014
Michael Chandler,USA,North America,Orthodox,Right,23,8,31,74.19,Lightweight,Study fundamentals and signature techniques,original,Men,172.7,180.3,Orthodox,1986-04-24,http://ufcstats.com/fighter-details/4b93a88f3b1de35b,8.0,2.0,6.0,2.0,0.0,0.0,1.0,1.0,2021-01-23,2026-06-14,8.0,82.7,3.85,50.48,4.75,40.9,1.63,36.0,56.25,0.18,0.36,18.78,73.9,1.89,24.21,66.67,22.96,10.38,40.4,40.1,True,7.6,2.0,52.0,48.0,All-rounder,Orthodox,True,Right,True,10,Orthodox · Right-handed,Right foot · Right hand,1.044
Sergio Pettis,USA,North America,Southpaw,Right,21,5,26,80.77,Flyweight,Study fundamentals and signature techniques,corrected,Men,167.6,175.3,Orthodox,1993-08-18,http://ufcstats.com/fighter-details/de75d1c45a39e221,14.0,9.0,5.0,0.0,0.0,9.0,0.0,1.0,2013-11-16,2019-09-21,14.0,211.2,3.88,37.43,2.91,65.43,0.85,40.0,67.57,0.36,0.07,8.61,89.13,5.13,5.74,78.75,10.01,11.23,33.1,26.1,False,7.7,1.0,32.0,36.0,All-rounder,Orthodox,False,Left,False,14,Orthodox · Right-handed,Left foot · Right hand,1.046
Uriah Hall,Jamaica,North America,Southpaw,Right,17,9,26,65.38,Middleweight,Study fundamentals and signature techniques,corrected,Men,182.9,200.7,Orthodox,1984-07-31,http://ufcstats.com/fighter-details/65578a75fa7900e3,19.0,10.0,9.0,8.0,0.0,2.0,1.0,3.0,2013-04-13,2022-07-02,19.0,196.1,3.23,48.58,3.85,54.41,0.54,38.89,64.41,0.15,0.61,6.16,79.97,5.84,14.2,56.62,19.87,23.5,42.1,37.9,False,17.8,4.0,54.0,18.0,Striker,Orthodox,False,Right,False,28,Orthodox · Right-handed,Right foot · Right hand,1.097
Diego Sanchez,USA,North America,Orthodox,Right,30,14,44,68.18,Lightweight,Study fundamentals and signature techniques,original,Men,177.8,182.9,Southpaw,1981-12-31,http://ufcstats.com/fighter-details/82e7929bf6c2b689,32.0,19.0,13.0,6.0,0.0,12.0,2.0,8.0,2005-04-09,2020-09-26,32.0,397.1,2.66,37.35,3.12,56.52,1.36,21.69,47.14,0.68,0.23,25.02,57.84,10.59,31.57,69.0,23.63,7.37,44.7,38.7,False,5.1,10.0,24.0,66.0,Grappler,Southpaw,False,Right,False,66,Southpaw · Right-handed,Right foot · Right hand,1.029
Jim Miller,USA,North America,Orthodox,Right,36,17,53,67.92,Lightweight,Study fundamentals and signature techniques,original,Men,172.7,180.3,Southpaw,1983-08-30,http://ufcstats.com/fighter-details/d1941565abf50b16,47.0,28.0,18.0,6.0,14.0,8.0,0.0,3.0,2008-10-18,2026-05-09,47.0,453.0,2.92,42.14,3.43,56.75,1.49,45.0,47.62,1.72,0.2,20.8,71.48,14.67,13.84,58.62,20.12,21.26,43.1,42.7,True,7.6,3.0,25.0,72.0,Grappler,Southpaw,False,Right,False,43,Southpaw · Right-handed,Right foot · Right hand,1.044
Clay Guida,USA,North America,Orthodox,Right,36,22,58,62.07,Lightweight,Study fundamentals and signature techniques,original,Men,170.2,177.8,Orthodox,1981-12-08,http://ufcstats.com/fighter-details/c47df9303d318c67,37.0,18.0,19.0,2.0,5.0,11.0,0.0,3.0,2006-10-14,2024-12-07,37.0,423.3,2.73,33.16,3.18,60.9,2.76,33.62,69.44,0.57,0.21,36.96,65.14,13.67,21.19,59.78,16.09,24.13,44.8,43.0,True,7.6,3.0,23.0,79.0,Grappler,Orthodox,True,Right,False,40,Orthodox · Right-handed,Right foot · Right hand,1.045
Derrick Lewis,USA,North America,Orthodox,Right,27,10,37,72.97,Heavyweight,Study fundamentals and signature techniques,original,Men,190.5,200.7,Orthodox,1985-02-07,http://ufcstats.com/fighter-details/d3df1add9d9a7efb,32.0,20.0,12.0,16.0,0.0,4.0,2.0,13.0,2014-04-19,2026-06-14,32.0,283.1,2.41,48.92,2.79,38.73,0.53,25.64,51.89,0.0,0.58,10.88,39.88,18.48,41.64,78.89,16.86,4.25,41.6,41.3,True,10.2,15.0,43.0,19.0,Striker,Orthodox,True,Right,False,82,Orthodox · Right-handed,Right foot · Right hand,1.054
Curtis Blaydes,USA,North America,Orthodox,Right,17,4,21,80.95,Heavyweight,Study fundamentals and signature techniques,original,Men,193.0,203.2,Orthodox,1991-02-18,http://ufcstats.com/fighter-details/fa6796c55d6c5440,22.0,15.0,6.0,8.0,0.0,7.0,1.0,7.0,2016-04-10,2026-09-12,22.0,208.5,3.99,51.23,2.7,55.18,5.04,47.3,35.0,0.0,0.14,43.8,53.3,17.41,29.29,70.83,11.16,18.01,35.6,35.6,True,10.2,8.0,36.0,65.0,Grappler,Orthodox,True,Right,False,52,Orthodox · Right-handed,Right foot · Right hand,1.053
